ROWS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
tlm03,0.017879,0.017441,0.018577,0.019833,0.021066,0.021585,0.024632,0.02273,0.023419,0.023548,0.026866,0.029402,0.030141,0.02895,0.029674,0.028416,0.027795,0.031086,0.031868,0.031933,0.035052,0.036434,0.036163,0.033708,0.033079,0.032222,0.030395,0.029555,0.02893,0.027842,0.026157,0.026401,0.025856,0.029085,0.031743,0.032208,0.032584,0.031916,0.029134,0.028906,0.027922,0.029203,0.033296,0.040447,0.049443,0.068122,0.109715,0.199002,0.308851,0.399715,0.406082,0.346631,0.248174,0.168963,0.122688,0.103734,0.092486,0.075464,0.055491,0.04938,0.042454,0.036344,0.032416,0.029557,0.028327,0.02659,0.024123,0.025582,0.026993,0.030389,0.040221,0.070115,0.106236,0.14765,0.150914,0.137215,0.120423,0.111622,0.137042,0.214889,0.337402,0.439155,0.529381,0.573367,0.551674,0.464516,0.406051,0.328631,0.268494,0.194579,0.136235,0.093945,0.066027,0.044947,0.038404,0.035257,0.030777,0.026771,0.026626,0.028061
segment-1,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.0169,0.01693,0.01702,0.01727,0.01734,0.01764,0.0179,0.01845,0.01882,0.02016,0.02017,0.02068,0.0215,0.02554,0.03495,0.08255,0.19012,0.25256,0.25957,0.32295,0.34821,0.3557,0.36333,0.30805,0.16211,0.06096,0.01782,0.01692,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.01689,0.0169,0.01694,0.01741,0.02046,0.03949,0.10133,0.23228,0.33425,0.3908,0.45399,0.48588,0.57337,0.56808,0.50719,0.41244,0.3269,0.3024,0.21776,0.18343,0.10541,0.08236,0.06419,0.05026,0.04138,0.03068,0.03392,0.03857,0.02053
segment-2,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00985,0.00988,0.00995,0.01021,0.01241,0.01944,0.02839,0.07014,0.07276,0.09644,0.10311,0.12031,0.12739,0.12886,0.14001,0.14377,0.12619,0.11504,0.10643,0.05681,0.03106,0.02624,0.02463,0.01161,0.01065,0.01033,0.01028,0.01029,0.01089,0.01363,0.02256,0.04493,0.07921,0.12153,0.14765,0.13797,0.10981,0.10286,0.0767,0.05399,0.04122,0.03026,0.02629,0.0238,0.02117,0.01824,0.01684,0.01539,0.01497,0.01366,0.01363,0.01298,0.01306,0.01287,0.01241,0.01227,0.01136,0.01125,0.01113,0.01017
sum,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02674,0.02675,0.02678,0.02687,0.02712,0.02719,0.02749,0.02775,0.0283,0.02867,0.03001,0.03002,0.03053,0.03135,0.03542,0.0449,0.09276,0.20253,0.272,0.28796,0.39309,0.42097,0.45214,0.46644,0.42836,0.2895,0.18982,0.15783,0.16069,0.14308,0.13193,0.12332,0.0737,0.04795,0.04313,0.04152,0.0285,0.02754,0.02722,0.02717,0.02718,0.02778,0.03052,0.03945,0.06182,0.09611,0.13847,0.16506,0.15843,0.1493,0.20419,0.30898,0.38824,0.43202,0.48425,0.51217,0.59717,0.58925,0.52543,0.42928,0.34229,0.31737,0.23142,0.19706,0.11839,0.09542,0.07706,0.06267,0.05365,0.04204,0.04517,0.0497,0.0307
model,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256741523854179,0.0256837537887034,0.0257125579985599,0.0257989706281293,0.0260390057102668,0.0261062155332652,0.0263942576318301,0.026643894117253,0.0271719712979553,0.0275272232195187,0.0288138112597753,0.0288234126630608,0.0293130842306211,0.0301003993000318,0.0340081704372289,0.0431103007518797,0.0890626168762664,0.194457220741162,0.261158169365507,0.27648200900916,0.377421561749585,0.40419027410955,0.434117848150443,0.447847854848703,0.411285711137532,0.277960625115126,0.182253837165296,0.151538948054993,0.154284949394645,0.137376878208885,0.126671313545556,0.118404505316744,0.0707623422141099,0.0460387287539561,0.0414108523703468,0.0398650264413818,0.0273639993636653,0.0264422646482576,0.0261350197431217,0.0260870127266942,0.0260966141299797,0.0266726983271095,0.0293034828273356,0.037877535961284,0.0593558751109399,0.0922790869769077,0.132950631294271,0.158480762630407,0.152115032252122,0.143348951052464,0.196051053686555,0.296664158715274,0.37276488115612,0.414799824740024,0.464947954100172,0.491755072073279,0.573367,0.565762688597887,0.504486532829847,0.412169040239798,0.328646433059263,0.304719736071805,0.222195674832962,0.189205253143996,0.113671013496994,0.0916165901502085,0.0739884137180367,0.0601719943902071,0.0515115286266892,0.0403642994122277,0.0433695386405881,0.047718974328918,0.0294763080864745
tlm04,0.023216,0.024575,0.022188,0.02254,0.023138,0.025467,0.027675,0.030142,0.032666,0.033655,0.037907,0.039572,0.039852,0.037602,0.037973,0.040179,0.040249,0.037328,0.038482,0.037381,0.039665,0.038838,0.037138,0.038113,0.033491,0.030648,0.025064,0.025352,0.022622,0.020677,0.017893,0.017264,0.01736,0.017829,0.017058,0.016676,0.017552,0.017112,0.015862,0.015092,0.013419,0.014669,0.016985,0.018861,0.021229,0.02711,0.044044,0.085033,0.142481,0.202739,0.208792,0.182628,0.138051,0.108889,0.132371,0.201207,0.274385,0.292256,0.235907,0.154965,0.099451,0.068757,0.049616,0.03993,0.035947,0.033777,0.034312,0.037178,0.044227,0.07609,0.145547,0.279818,0.401169,0.509671,0.518318,0.44503,0.385178,0.265417,0.238801,0.288246,0.368097,0.427637,0.431061,0.399319,0.353068,0.290164,0.221039,0.142914,0.104211,0.070855,0.052966,0.040395,0.031145,0.026561,0.023895,0.024116,0.020501,0.019716,0.021494,0.020621
segment-1,0.00294815,0.00294815,0.00294815,0.00294816,0.00294816,0.00294816,0.00294816,0.00294816,0.00294816,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294817,0.00294815,0.00294815,0.00294815,0.00294815,0.00294827,0.00294823,0.00294863,0.00295468,0.00297473,0.0030205,0.00303414,0.00308283,0.00312129,0.00320334,0.00325821,0.00349202,0.00350039,0.00363925,0.00400329,0.00400329,0.00604618,0.0110474,0.038248,0.126895,0.221532,0.24523,0.412232,0.425058,0.525058,0.588176,0.385022,0.0137212,0.00309266,0.00295129,0.00294829,0.00294818,0.00294816,0.00294816,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294815,0.00294816,0.00294817,0.00294817,0.00294827,0.0029494,0.00298606,0.0044737,0.0205402,0.13658,0.410897,0.695208,0.867931,0.903206,0.69899,0.60936,0.57907,0.45691,0.31938,0.23897,0.22669,0.17582,0.15389,0.10538,0.09348,0.08316,0.07458,0.06882,0.06028,0.06443
segment-2,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.0004647321,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.00046473075,0.0004647321,0.00046473345,0.00046473345,0.0004647348,0.0004647375,0.00046475235,0.0004647753,0.0004648401,0.0004652127,0.0004661712,0.0004661712,0.00046771695,0.0005001102,0.00051344955,0.0011126592,0.006260625,0.13357035,0.25244865,0.35672535,0.4471281,0.495342,0.3136401,0.17831205,0.020947275,0.0062717085,0.0048607965,0.0061632225,0.00050289795,0.00049942845,0.0005080239,0.00053639415,0.0005922801,0.0008563644,0.0039205485,0.04670649,0.2767581,0.51609285,0.61324695,0.6385284,0.63138825,0.61522605,0.6008661,0.5203764,0.33573555,0.14772105,0.03694356,0.0114237945,0.0039267315,0.00105732405,0.00052832655,0.0004715334,0.0004655448,0.0004649886,0.00046477935,0.0004647591,0.00046473615,0.0004647348,0.0004647348,0.00046473615,0.0004647348,0.0004647402,0.0004647672,0.0004650237,0.0004648104
sum,0.00341288075,0.00341288075,0.00341288075,0.00341289075,0.0034128921,0.00341289075,0.00341289075,0.00341289075,0.00341289075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341290075,0.00341288075,0.00341288075,0.00341288075,0.00341288075,0.00341300075,0.00341296075,0.00341336075,0.00341941075,0.00343946075,0.00348523075,0.00349887075,0.00354756075,0.00358602075,0.00366807075,0.0037229421,0.00395675345,0.00396512345,0.0041039848,0.0044680275,0.00446804235,0.0065109553,0.0115122401,0.0387132127,0.1273611712,0.2219981712,0.24569771695,0.4127321102,0.42557144955,0.5261706592,0.594436625,0.51859235,0.26616985,0.35981801,0.45007939,0.49829029,0.31658828,0.18126021,0.023895435,0.0092198585,0.0078089465,0.0091113725,0.00345104795,0.00344757845,0.0034561739,0.00348454415,0.0035404301,0.0038045144,0.0068686985,0.04965464,0.27970626,0.51904102,0.61619512,0.64147667,0.63433765,0.61821211,0.6053398,0.5409166,0.47231555,0.55861805,0.73215156,0.8793547945,0.9071327315,0.70004732405,0.60988832655,0.5795415334,0.4573755448,0.3198449886,0.23943477935,0.2271547591,0.17628473615,0.1543547348,0.1058447348,0.09394473615,0.0836247348,0.0750447402,0.0692847672,0.0607450237,0.0648948104
model,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005939740859,0.00195006016877234,0.00195005939740859,0.00195005939740859,0.00195005939740859,0.00195005939740859,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.0019500651112141,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195005368360308,0.00195012224926921,0.00195009939404717,0.00195032794626759,0.00195378479860144,0.00196524097864999,0.00199139306647155,0.00199918669718787,0.0020270072162185,0.00204898251221189,0.00209586428642554,0.0021272167086254,0.00226081196663016,0.00226559442184244,0.002344937096525,0.00255294401505674,0.00255295250005793,0.00372023322717619,0.00657787009215839,0.0221199768054435,0.0727716961826348,0.126845437392358,0.140386896902628,0.235827100562123,0.243163249355044,0.30064368120006,0.339649526356827,0.296313582713336,0.152084275565907,0.20559301283153,0.257166609874467,0.284713380483085,0.180892385882385,0.103568558673246,0.0136533868178805,0.00526804783033342,0.0044618801542903,0.0052060610398722,0.00197186167937112,0.00196987927454925,0.00197479054750677,0.0019910007565852,0.00202293290149216,0.00217382553434982,0.0039246407339266,0.0283716955653915,0.159818716970946,0.296569944025176,0.352081907219947,0.366527293190346,0.362448196008789,0.353234376077609,0.345879388496522,0.309069224980115,0.269871919228504,0.3191834892355,0.418337161804948,0.502446227049907,0.518318,0.399993425776796,0.348478328103127,0.331138760710478,0.261335490824637,0.182753205836862,0.136808376165548,0.129791811428198,0.100725669683098,0.0881952934272071,0.0604776228957696,0.0536781951096378,0.0477815470514376,0.0428791050088832,0.0395879684621099,0.0347085251152539,0.03707963252664
